A,B,C
5.11147,5.24444,7.03643
0.66396,7.81515,2.81782
1.4443,2.9191,0.23355
2.02655,3.64614,7.35335
0.06562,0.85515,4.72305
2.94374,0.72253,0.46529
7.3385,8.41794,8.02834
7.3359,1.26053,3.26382
2.30276,6.29259,0.7353
3.02816,7.39671,0.58702
4.72321,1.08275,7.56403
1.37646,5.83381,0.68428
7.07766,4.05055,8.14676
5.88735,8.29062,0.87975
5.88634,6.82278,0.62261
1.08683,8.22813,8.26553
6.58223,0.64579,7.72247
4.52744,1.92881,4.01823
5.4663,8.27059,3.15566
5.62581,5.66221,0.63667
6.98962,6.40473,6.79091
2.79062,2.78798,2.78867
4.91073,1.60098,0.16523
5.22253,2.75982,1.16424
7.39564,3.41932,1.58448
4.12165,0.86758,0.37121
8.38914,5.11231,2.21429
7.59596,4.50516,1.28964
0.95329,3.49984,7.79627
0.74476,3.25189,6.19335
2.13057,6.43815,1.79235
0.48607,3.87029,2.7102
7.51767,7.67817,2.50667
7.4474,2.41544,0.85362
4.20472,2.47436,1.57035
8.47574,1.77392,7.79485
1.48864,3.70099,2.09148
3.05657,7.87141,4.39079
0.83755,7.80703,1.66956
6.54759,0.49105,1.49683
6.60497,0.56102,6.35263
7.88633,3.00463,5.16142
2.01738,7.97061,4.35423
1.60376,1.63436,1.74978
0.41658,6.68646,1.09648
1.71292,6.64014,4.09777
0.49461,7.73029,0.64501
7.75303,3.74205,0.51503
5.70085,0.01852,8.38018
5.66427,3.64927,1.45607
8.2529,4.97174,5.10838
3.92334,3.92737,0.24731
7.56923,1.40998,7.32677
2.72911,4.52292,8.5467
5.31778,6.39853,3.53332
5.02711,3.69044,3.4737
0.27918,7.12117,5.47657
3.50572,3.02625,0.98473
4.44453,4.45728,4.7536
7.15482,1.68435,6.32735
8.09111,7.17485,0.72062
7.96255,7.52933,8.3026
0.60505,1.57813,2.05084
6.08545,4.69455,7.29121
0.65621,5.35982,4.68914
7.90071,8.36633,0.38783
1.78301,6.50185,2.80186
5.85862,3.29938,0.29585
2.58214,3.837,3.15495
8.48634,0.88781,0.43097
2.38674,7.53892,5.26675
2.35185,4.668,7.61562
6.81186,3.01623,0.06622
6.56921,5.17985,0.91055
4.64726,3.90921,6.34298
4.88393,1.54585,1.56974
8.23626,0.94808,2.4875
7.58807,0.79057,6.38074
7.4925,6.88792,1.83072
1.1025,7.58584,4.62318
3.06222,0.6108,2.88949
8.25335,4.89452,8.32391
4.51262,2.28278,2.95931
0.56424,5.3359,0.02425
3.29532,7.397,7.09325
8.21012,8.10672,7.07006
6.57616,6.24152,3.65199
0.98587,4.67379,2.11827
4.36562,2.41939,0.55279
1.44561,4.43107,6.26788
5.16533,7.68186,6.72985
2.71792,6.82744,4.53594
1.0212,4.83541,0.91275
4.55824,6.30567,0.58316
4.78795,5.98187,6.02164
4.94762,6.03408,2.61859
1.73749,0.63051,7.87958
3.65847,8.0221,1.70092
6.91888,0.34814,0.38921
1.0506,1.99788,0.22275
0.65163,1.40963,0.98973
1.88685,3.93354,8.49102
7.20923,1.38262,0.7281
0.32356,1.9092,4.82216
3.69535,0.09797,7.4547
2.10484,8.48048,0.19352
2.86488,2.41168,1.73811
0.93172,2.43511,1.24425
6.81922,2.135,2.54943
3.73888,2.76408,2.44134
5.87327,1.29668,1.88833
2.37805,5.19393,0.97453
3.99454,3.38072,3.33599
7.3249,7.55442,3.67655
4.18602,7.32122,0.97121
4.20719,6.61716,3.06403
5.16285,7.70655,0.34867
