A,B,C
0,0,0
0.85499,0.85499,0
0,0.85499,0.85499
0.85499,0,0.85499
1.70998,0,0
2.56496,0.85499,0
1.70998,0.85499,0.85499
2.56496,0,0.85499
3.41995,0,0
4.27494,0.85499,0
3.41995,0.85499,0.85499
4.27494,0,0.85499
5.12993,0,0
5.98492,0.85499,0
5.12993,0.85499,0.85499
5.98492,0,0.85499
6.8399,0,0
7.69489,0.85499,0
6.8399,0.85499,0.85499
7.69489,0,0.85499
0,1.70998,0
0.85499,2.56496,0
0,2.56496,0.85499
0.85499,1.70998,0.85499
1.70998,1.70998,0
2.56496,2.56496,0
1.70998,2.56496,0.85499
2.56496,1.70998,0.85499
3.41995,1.70998,0
4.27494,2.56496,0
3.41995,2.56496,0.85499
4.27494,1.70998,0.85499
5.12993,1.70998,0
5.98492,2.56496,0
5.12993,2.56496,0.85499
5.98492,1.70998,0.85499
6.8399,1.70998,0
7.69489,2.56496,0
6.8399,2.56496,0.85499
7.69489,1.70998,0.85499
0,3.41995,0
0.85499,4.27494,0
0,4.27494,0.85499
0.85499,3.41995,0.85499
1.70998,3.41995,0
2.56496,4.27494,0
1.70998,4.27494,0.85499
2.56496,3.41995,0.85499
3.41995,3.41995,0
4.27494,4.27494,0
3.41995,4.27494,0.85499
4.27494,3.41995,0.85499
5.12993,3.41995,0
5.98492,4.27494,0
5.12993,4.27494,0.85499
5.98492,3.41995,0.85499
6.8399,3.41995,0
7.69489,4.27494,0
6.8399,4.27494,0.85499
7.69489,3.41995,0.85499
0,5.12993,0
0.85499,5.98492,0
0,5.98492,0.85499
0.85499,5.12993,0.85499
1.70998,5.12993,0
2.56496,5.98492,0
1.70998,5.98492,0.85499
2.56496,5.12993,0.85499
3.41995,5.12993,0
4.27494,5.98492,0
3.41995,5.98492,0.85499
4.27494,5.12993,0.85499
5.12993,5.12993,0
5.98492,5.98492,0
5.12993,5.98492,0.85499
5.98492,5.12993,0.85499
6.8399,5.12993,0
7.69489,5.98492,0
6.8399,5.98492,0.85499
7.69489,5.12993,0.85499
0,6.8399,0
0.85499,7.69489,0
0,7.69489,0.85499
0.85499,6.8399,0.85499
1.70998,6.8399,0
2.56496,7.69489,0
1.70998,7.69489,0.85499
2.56496,6.8399,0.85499
3.41995,6.8399,0
4.27494,7.69489,0
3.41995,7.69489,0.85499
4.27494,6.8399,0.85499
5.12993,6.8399,0
5.98492,7.69489,0
5.12993,7.69489,0.85499
5.98492,6.8399,0.85499
6.8399,6.8399,0
7.69489,7.69489,0
6.8399,7.69489,0.85499
7.69489,6.8399,0.85499
0,0,1.70998
0.85499,0.85499,1.70998
0,0.85499,2.56496
0.85499,0,2.56496
1.70998,0,1.70998
2.56496,0.85499,1.70998
1.70998,0.85499,2.56496
2.56496,0,2.56496
3.41995,0,1.70998
4.27494,0.85499,1.70998
3.41995,0.85499,2.56496
4.27494,0,2.56496
5.12993,0,1.70998
5.98492,0.85499,1.70998
5.12993,0.85499,2.56496
5.98492,0,2.56496
6.8399,0,1.70998
7.69489,0.85499,1.70998
6.8399,0.85499,2.56496
7.69489,0,2.56496
0,1.70998,1.70998
0.85499,2.56496,1.70998
0,2.56496,2.56496
0.85499,1.70998,2.56496
1.70998,1.70998,1.70998
2.56496,2.56496,1.70998
1.70998,2.56496,2.56496
2.56496,1.70998,2.56496
3.41995,1.70998,1.70998
4.27494,2.56496,1.70998
3.41995,2.56496,2.56496
4.27494,1.70998,2.56496
5.12993,1.70998,1.70998
5.98492,2.56496,1.70998
5.12993,2.56496,2.56496
5.98492,1.70998,2.56496
6.8399,1.70998,1.70998
7.69489,2.56496,1.70998
6.8399,2.56496,2.56496
7.69489,1.70998,2.56496
0,3.41995,1.70998
0.85499,4.27494,1.70998
0,4.27494,2.56496
0.85499,3.41995,2.56496
1.70998,3.41995,1.70998
2.56496,4.27494,1.70998
1.70998,4.27494,2.56496
2.56496,3.41995,2.56496
3.41995,3.41995,1.70998
4.27494,4.27494,1.70998
3.41995,4.27494,2.56496
4.27494,3.41995,2.56496
5.12993,3.41995,1.70998
5.98492,4.27494,1.70998
5.12993,4.27494,2.56496
5.98492,3.41995,2.56496
6.8399,3.41995,1.70998
7.69489,4.27494,1.70998
6.8399,4.27494,2.56496
7.69489,3.41995,2.56496
0,5.12993,1.70998
0.85499,5.98492,1.70998
0,5.98492,2.56496
0.85499,5.12993,2.56496
1.70998,5.12993,1.70998
2.56496,5.98492,1.70998
1.70998,5.98492,2.56496
2.56496,5.12993,2.56496
3.41995,5.12993,1.70998
4.27494,5.98492,1.70998
3.41995,5.98492,2.56496
4.27494,5.12993,2.56496
5.12993,5.12993,1.70998
5.98492,5.98492,1.70998
5.12993,5.98492,2.56496
5.98492,5.12993,2.56496
6.8399,5.12993,1.70998
7.69489,5.98492,1.70998
6.8399,5.98492,2.56496
7.69489,5.12993,2.56496
0,6.8399,1.70998
0.85499,7.69489,1.70998
0,7.69489,2.56496
0.85499,6.8399,2.56496
1.70998,6.8399,1.70998
2.56496,7.69489,1.70998
1.70998,7.69489,2.56496
2.56496,6.8399,2.56496
3.41995,6.8399,1.70998
4.27494,7.69489,1.70998
3.41995,7.69489,2.56496
4.27494,6.8399,2.56496
5.12993,6.8399,1.70998
5.98492,7.69489,1.70998
5.12993,7.69489,2.56496
5.98492,6.8399,2.56496
6.8399,6.8399,1.70998
7.69489,7.69489,1.70998
6.8399,7.69489,2.56496
7.69489,6.8399,2.56496
0,0,3.41995
0.85499,0.85499,3.41995
0,0.85499,4.27494
0.85499,0,4.27494
1.70998,0,3.41995
2.56496,0.85499,3.41995
1.70998,0.85499,4.27494
2.56496,0,4.27494
3.41995,0,3.41995
4.27494,0.85499,3.41995
3.41995,0.85499,4.27494
4.27494,0,4.27494
5.12993,0,3.41995
5.98492,0.85499,3.41995
5.12993,0.85499,4.27494
5.98492,0,4.27494
6.8399,0,3.41995
7.69489,0.85499,3.41995
6.8399,0.85499,4.27494
7.69489,0,4.27494
0,1.70998,3.41995
0.85499,2.56496,3.41995
0,2.56496,4.27494
0.85499,1.70998,4.27494
1.70998,1.70998,3.41995
2.56496,2.56496,3.41995
1.70998,2.56496,4.27494
2.56496,1.70998,4.27494
3.41995,1.70998,3.41995
4.27494,2.56496,3.41995
3.41995,2.56496,4.27494
4.27494,1.70998,4.27494
5.12993,1.70998,3.41995
5.98492,2.56496,3.41995
5.12993,2.56496,4.27494
5.98492,1.70998,4.27494
6.8399,1.70998,3.41995
7.69489,2.56496,3.41995
6.8399,2.56496,4.27494
7.69489,1.70998,4.27494
0,3.41995,3.41995
0.85499,4.27494,3.41995
0,4.27494,4.27494
0.85499,3.41995,4.27494
1.70998,3.41995,3.41995
2.56496,4.27494,3.41995
1.70998,4.27494,4.27494
2.56496,3.41995,4.27494
3.41995,3.41995,3.41995
4.27494,4.27494,3.41995
3.41995,4.27494,4.27494
4.27494,3.41995,4.27494
5.12993,3.41995,3.41995
5.98492,4.27494,3.41995
5.12993,4.27494,4.27494
5.98492,3.41995,4.27494
6.8399,3.41995,3.41995
7.69489,4.27494,3.41995
6.8399,4.27494,4.27494
7.69489,3.41995,4.27494
0,5.12993,3.41995
0.85499,5.98492,3.41995
0,5.98492,4.27494
0.85499,5.12993,4.27494
